storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,basin
EP101986,JAVIER,44,1986-08-20T18:00:00Z,Tropical storm,NA,10.2,-98.5,45,1986,EPAC
EP091986,ISIS,18,1986-08-21T00:00:00Z,Tropical storm,NA,16.7,-120.2,45,1986,EPAC
EP101986,JAVIER,44,1986-08-21T00:00:00Z,Tropical storm,NA,10.6,-99.9,55,1986,EPAC
EP091986,ISIS,18,1986-08-21T06:00:00Z,Tropical storm,NA,17.1,-121.6,45,1986,EPAC
EP101986,JAVIER,44,1986-08-21T06:00:00Z,Tropical storm,NA,11,-101.2,55,1986,EPAC
EP091986,ISIS,18,1986-08-21T12:00:00Z,Tropical storm,NA,17.7,-122.9,45,1986,EPAC
EP101986,JAVIER,44,1986-08-21T12:00:00Z,Hurricane,NA,11.4,-102.8,90,1986,EPAC
EP091986,ISIS,18,1986-08-21T18:00:00Z,Tropical storm,NA,18.4,-124.1,45,1986,EPAC
EP101986,JAVIER,44,1986-08-21T18:00:00Z,Hurricane,NA,11.8,-104.2,90,1986,EPAC
EP091986,ISIS,18,1986-08-22T00:00:00Z,Tropical storm,NA,19,-125.2,40,1986,EPAC
EP101986,JAVIER,44,1986-08-22T00:00:00Z,Hurricane,NA,12,-105.5,100,1986,EPAC
EP091986,ISIS,18,1986-08-22T06:00:00Z,Tropical storm,NA,19.7,-126.4,45,1986,EPAC
EP101986,JAVIER,44,1986-08-22T06:00:00Z,Hurricane,NA,12.3,-106.5,100,1986,EPAC
EP091986,ISIS,18,1986-08-22T12:00:00Z,Tropical storm,NA,20.4,-127.6,45,1986,EPAC
EP101986,JAVIER,44,1986-08-22T12:00:00Z,Hurricane,NA,12.5,-107.5,90,1986,EPAC
EP091986,ISIS,18,1986-08-22T18:00:00Z,Tropical storm,NA,21,-128.9,45,1986,EPAC
EP101986,JAVIER,44,1986-08-22T18:00:00Z,Hurricane,NA,12.8,-108.6,90,1986,EPAC
EP091986,ISIS,18,1986-08-23T00:00:00Z,Tropical storm,NA,21.6,-130.2,40,1986,EPAC
EP101986,JAVIER,44,1986-08-23T00:00:00Z,Hurricane,NA,13,-109.2,90,1986,EPAC
EP091986,ISIS,18,1986-08-23T06:00:00Z,Tropical storm,NA,22,-131.6,35,1986,EPAC
EP101986,JAVIER,44,1986-08-23T06:00:00Z,Hurricane,NA,13.3,-109.6,90,1986,EPAC
EP091986,ISIS,18,1986-08-23T12:00:00Z,Tropical depression,NA,22,-133,30,1986,EPAC
EP101986,JAVIER,44,1986-08-23T12:00:00Z,Hurricane,NA,13.6,-110,90,1986,EPAC
EP091986,ISIS,18,1986-08-23T18:00:00Z,Tropical depression,NA,21.6,-134.1,25,1986,EPAC
EP101986,JAVIER,44,1986-08-23T18:00:00Z,Hurricane,NA,14,-110.2,80,1986,EPAC
EP091986,ISIS,18,1986-08-24T00:00:00Z,Tropical depression,NA,21.1,-135.1,25,1986,EPAC
EP101986,JAVIER,44,1986-08-24T00:00:00Z,Hurricane,NA,14.5,-110.2,100,1986,EPAC
EP101986,JAVIER,44,1986-08-24T06:00:00Z,Hurricane,NA,15.1,-110.1,110,1986,EPAC
EP101986,JAVIER,44,1986-08-24T12:00:00Z,Hurricane,NA,15.8,-110.1,110,1986,EPAC
EP101986,JAVIER,44,1986-08-24T18:00:00Z,Hurricane,NA,16.6,-110.4,110,1986,EPAC
EP101986,JAVIER,44,1986-08-25T00:00:00Z,Hurricane,NA,17.1,-110.8,115,1986,EPAC
EP101986,JAVIER,44,1986-08-25T06:00:00Z,Hurricane,NA,17.6,-111.4,110,1986,EPAC
EP101986,JAVIER,44,1986-08-25T12:00:00Z,Hurricane,NA,18,-112.1,115,1986,EPAC
EP101986,JAVIER,44,1986-08-25T18:00:00Z,Hurricane,NA,18.5,-112.8,95,1986,EPAC
EP101986,JAVIER,44,1986-08-26T00:00:00Z,Hurricane,NA,19.1,-113.8,90,1986,EPAC
EP101986,JAVIER,44,1986-08-26T06:00:00Z,Hurricane,NA,19.6,-115.2,85,1986,EPAC
EP101986,JAVIER,44,1986-08-26T12:00:00Z,Hurricane,NA,19.9,-116.4,75,1986,EPAC
EP101986,JAVIER,44,1986-08-26T18:00:00Z,Hurricane,NA,20.1,-117.7,75,1986,EPAC
EP101986,JAVIER,44,1986-08-27T00:00:00Z,Hurricane,NA,20.2,-119.1,65,1986,EPAC
EP101986,JAVIER,44,1986-08-27T06:00:00Z,Hurricane,NA,20.2,-120.6,65,1986,EPAC
EP101986,JAVIER,44,1986-08-27T12:00:00Z,Hurricane,NA,20.3,-122.1,65,1986,EPAC
EP101986,JAVIER,44,1986-08-27T18:00:00Z,Hurricane,NA,20.4,-123.5,65,1986,EPAC
EP101986,JAVIER,44,1986-08-28T00:00:00Z,Hurricane,NA,20.5,-124.9,65,1986,EPAC
EP101986,JAVIER,44,1986-08-28T06:00:00Z,Hurricane,NA,20.6,-126.1,65,1986,EPAC
EP101986,JAVIER,44,1986-08-28T12:00:00Z,Tropical storm,NA,20.8,-127.2,60,1986,EPAC
EP101986,JAVIER,44,1986-08-28T18:00:00Z,Tropical storm,NA,20.9,-128.1,60,1986,EPAC
EP111986,KAY,24,1986-08-28T18:00:00Z,Tropical depression,NA,18.1,-112.3,25,1986,EPAC
EP101986,JAVIER,44,1986-08-29T00:00:00Z,Tropical storm,NA,21.1,-129.1,60,1986,EPAC
EP111986,KAY,24,1986-08-29T00:00:00Z,Tropical depression,NA,18.1,-112.7,30,1986,EPAC
EP101986,JAVIER,44,1986-08-29T06:00:00Z,Tropical storm,NA,21.4,-130.1,60,1986,EPAC
EP111986,KAY,24,1986-08-29T06:00:00Z,Tropical depression,NA,18.1,-113.2,30,1986,EPAC
EP101986,JAVIER,44,1986-08-29T12:00:00Z,Tropical storm,NA,21.7,-131,50,1986,EPAC
EP111986,KAY,24,1986-08-29T12:00:00Z,Tropical depression,NA,18.2,-113.6,30,1986,EPAC
EP101986,JAVIER,44,1986-08-29T18:00:00Z,Tropical storm,NA,22,-132,40,1986,EPAC
EP111986,KAY,24,1986-08-29T18:00:00Z,Tropical depression,NA,18.2,-114,25,1986,EPAC
EP101986,JAVIER,44,1986-08-30T00:00:00Z,Tropical storm,NA,22.3,-133,35,1986,EPAC
EP111986,KAY,24,1986-08-30T00:00:00Z,Tropical depression,NA,18.2,-114.5,30,1986,EPAC
EP101986,JAVIER,44,1986-08-30T06:00:00Z,Tropical depression,NA,22.7,-133.8,30,1986,EPAC
EP111986,KAY,24,1986-08-30T06:00:00Z,Tropical depression,NA,18.2,-115.1,30,1986,EPAC
EP101986,JAVIER,44,1986-08-30T12:00:00Z,Tropical depression,NA,23.2,-134.6,30,1986,EPAC
EP111986,KAY,24,1986-08-30T12:00:00Z,Tropical depression,NA,18.3,-115.7,30,1986,EPAC
EP101986,JAVIER,44,1986-08-30T18:00:00Z,Tropical depression,NA,23.8,-135.5,30,1986,EPAC
EP111986,KAY,24,1986-08-30T18:00:00Z,Tropical storm,NA,18.4,-116.3,35,1986,EPAC
EP101986,JAVIER,44,1986-08-31T00:00:00Z,Tropical depression,NA,24.2,-136.4,25,1986,EPAC
EP111986,KAY,24,1986-08-31T00:00:00Z,Tropical storm,NA,18.5,-117,35,1986,EPAC
